Feature,Importance
PS_ac_RT_med,0.20934328395363513
PS_vis_RT_med,0.1447622691554756
AGL_medRT_diff,0.10816149068533266
n_back_2_mean_score,0.08329430340896266
digit_span_backward,0.07312423140735859
AFC_sent,0.07248743145552111
age_years,0.0716929488861627
group_ASD,0.06059417586660171
AGL_offline,0.04974912605321528
digit_span_forward,0.036074613473490696
IQ,0.03008655742586354
prod,0.026953487503039792
AFC_phr,0.025051787013292477
group_DLD,0.006265554160808555
group_ADHD,0.0023587395512396692
